region,subject,Дебиторская задолженность,Кредиторская задолженность,Просроченная дебиторская задолженность,Просроченная кредиторская задолженность
Гродненская область,Свислочский,466688.9,2918209.1,86146.6,581611.4
Витебская область,Сенненский,9989,137494,2705,30034
Могилевская область,Славгородский,7.3,72.4,2.9,14.2
Гродненская область,Слонимский,6235684.9,10984328.2,2149902.2,3371085.9
Минская область,Слуцкий,439.2,706.8,135,218.5
Минская область,Смолевичский,270.8,524.1,57.9,94.6
Гродненская область,Сморгонский,8043265.9,19313469.2,1335381,1476875.5
Минская область,Солигорский,1608.3,1329,458.6,234.4
Минская область,Стародорожский,33.9,112.1,4.8,21.7
Минская область,Столбцовский,77.4,241.9,29.7,78.1
Брестская область,Столинский,60752,166454,14432,44918
Витебская область,Толочинский,34339,154719,6241,36753
Минская область,Узденский,29.3,133.6,11.5,53.5
Витебская область,Ушачский,6692,87101,2917,49311
Гомельская область,Хойникский,13802,75790,6029,24328
Могилевская область,Хотимский,10.5,85.2,4,10
Могилевская область,Чаусский,18.8,104.7,4.6,16.6
Витебская область,Чашникский,30950,98663,12170,30133
Минская область,Червенский,89.4,167.1,18.5,55.8
Могилевская область,Чериковский,7.8,54.4,1.9,3.1
Гомельская область,Чечерский,16265,62030,7109,18742
Витебская область,Шарковщинский,9476,88867,2632,36274
Могилевская область,Шкловский,99.1,306.8,21.8,102.9
Витебская область,Шумилинский,13419,121275,5266,61284
Гродненская область,Щучинский,5905669.2,8286826.6,934904.5,1766683.3
