region	subject	Рентабельность продаж, %	Чистая прибыль, млн	Розничный товарооборот, млн	Дебиторская задолженность, млн	Кредиторская задолженность, млн	Заработная плата, руб	Ввод в эксплуатацию жилья, м2	Импорт товаров, USD тыс	Экспорт товаров, USD тыс
Брестская область	Столинский	3.3	10.031	11.4	28.954	85.917	486.7	7437	4627	8273.1
Витебская область	Толочинский	7.4	3.745	4.1	15.56	80.089	531	306	19960.9	6931.3
Минская область	Узденский	5.4	3.5	4.3	15.3	69	583.6	1224	15247	4374.3
Витебская область	Ушачский	3.8	0.649	2.4	3.889	45.485	474.9	240	262.5	347.6
Гомельская область	Хойникский	2.5	1.303	3.3	6.818	39.713	499.9	2	95.1	1081.2
Могилевская область	Хотимский	-7	-0.3	1.6	5.9	43.2	493.1	0	671	372.2
Могилевская область	Чаусский	3	1.5	2.9	8.7	54.7	498.4	421	1878.3	2437.9
Витебская область	Чашникский	3.2	-1.569	7.4	13.092	53.492	569.6	2072	3670.2	7638.9
Минская область	Червенский	-1.1	-1.1	4.9	92.9	135.5	555.1	1629	10167.1	11395.1
Могилевская область	Чериковский	3.6	0.2	2.4	3.3	28.3	528.5	0	0	468.8
Гомельская область	Чечерский	3.6	3.126	2.3	9.273	33.512	518	0	120.7	650.3
Витебская область	Шарковщинский	-0.9	-1.346	2.2	4.548	44.653	419.8	0	2575.2	1240.9
Могилевская область	Шкловский	2.4	5.2	4.7	60.5	140.7	587.8	33	19281.7	50088
Витебская область	Шумилинский	-4.2	-4.365	2.9	6.913	71.033	476.7	98	596.1	2972.5
Гродненская область	Щучинский	8.6	10.5	6.7	55.1	84.7	538.2	205	34965.4	60254.8
